district_id, district name, state
49,Kamrup Metropolitan,Assam
50,Kamrup Rural,Assam
51,Karbi-Anglong,Assam
69,Karimganj,Assam
61,Kokrajhar,Assam
63,Lakhimpur,Assam
767,Majuli,Assam
55,Morigaon,Assam
56,Nagaon,Assam
52,Nalbari,Assam
44,Sivasagar,Assam
64,Sonitpur,Assam
768,South Salmara Mankachar,Assam
45,Tinsukia,Assam
65,Udalguri,Assam
769,West Karbi Anglong,Assam
74,Araria,Bihar
78,Arwal,Bihar
77,Aurangabad,Bihar
83,Banka,Bihar
98,Begusarai,Bihar
82,Bhagalpur,Bihar
99,Bhojpur,Bihar
100,Buxar,Bihar
94,Darbhanga,Bihar
105,East Champaran,Bihar
79,Gaya,Bihar
104,Gopalganj,Bihar
107,Jamui,Bihar
91,Jehanabad,Bihar
80,Kaimur,Bihar
75,Katihar,Bihar
101,Khagaria,Bihar
76,Kishanganj,Bihar
84,Lakhisarai,Bihar
70,Madhepura,Bihar
95,Madhubani,Bihar
85,Munger,Bihar
86,Muzaffarpur,Bihar
90,Nalanda,Bihar
92,Nawada,Bihar
97,Patna,Bihar
73,Purnia,Bihar
81,Rohtas,Bihar
71,Saharsa,Bihar
96,Samastipur,Bihar
102,Saran,Bihar
93,Sheikhpura,Bihar
87,Sheohar,Bihar
88,Sitamarhi,Bihar
103,Siwan,Bihar
72,Supaul,Bihar
89,Vaishali,Bihar
106,West Champaran,Bihar
108,Chandigarh,Chandigarh
110,Balod,Chhattisgarh
111,Baloda bazar,Chhattisgarh
112,Balrampur,Chhattisgarh
113,Bastar,Chhattisgarh
114,Bemetara,Chhattisgarh
115,Bijapur,Chhattisgarh
116,Bilaspur,Chhattisgarh
117,Dantewada,Chhattisgarh
118,Dhamtari,Chhattisgarh
119,Durg,Chhattisgarh
120,Gariaband,Chhattisgarh
136,Gaurela Pendra Marwahi ,Chhattisgarh
121,Janjgir-Champa,Chhattisgarh
122,Jashpur,Chhattisgarh
123,Kanker,Chhattisgarh
135,Kawardha,Chhattisgarh
124,Kondagaon,Chhattisgarh
125,Korba,Chhattisgarh
126,Koriya,Chhattisgarh
127,Mahasamund,Chhattisgarh
128,Mungeli,Chhattisgarh
129,Narayanpur,Chhattisgarh
130,Raigarh,Chhattisgarh
109,Raipur,Chhattisgarh
131,Rajnandgaon,Chhattisgarh
132,Sukma,Chhattisgarh
133,Surajpur,Chhattisgarh
134,Surguja,Chhattisgarh
137,Dadra and Nagar Haveli,Dadra and Nagar Haveli
138,Daman,Daman and Diu
139,Diu,Daman and Diu
141,Central Delhi,Delhi
145,East Delhi,Delhi
140,New Delhi,Delhi
146,North Delhi,Delhi
147,North East Delhi,Delhi
143,North West Delhi,Delhi
148,Shahdara,Delhi
149,South Delhi,Delhi
144,South East Delhi,Delhi
150,South West Delhi,Delhi
142,West Delhi,Delhi
151,North Goa,Goa
152,South Goa,Goa
154,Ahmedabad,Gujarat
770,Ahmedabad Corporation,Gujarat
174,Amreli,Gujarat
179,Anand,Gujarat
158,Aravalli,Gujarat
159,Banaskantha,Gujarat
180,Bharuch,Gujarat
175,Bhavnagar,Gujarat
771,Bhavnagar Corporation,Gujarat
176,Botad,Gujarat
181,Chhotaudepur,Gujarat
182,Dahod,Gujarat
163,Dang,Gujarat
168,Devbhumi Dwaraka,Gujarat
153,Gandhinagar,Gujarat
772,Gandhinagar Corporation,Gujarat
177,Gir Somnath,Gujarat
169,Jamnagar,Gujarat
773,Jamnagar Corporation,Gujarat
178,Junagadh,Gujarat
774,Junagadh Corporation,Gujarat
156,Kheda,Gujarat
170,Kutch,Gujarat
183,Mahisagar,Gujarat
160,Mehsana,Gujarat
171,Morbi,Gujarat
184,Narmada,Gujarat
164,Navsari,Gujarat
185,Panchmahal,Gujarat
161,Patan,Gujarat
172,Porbandar,Gujarat
173,Rajkot,Gujarat
775,Rajkot Corporation,Gujarat
162,Sabarkantha,Gujarat
165,Surat,Gujarat
776,Surat Corporation,Gujarat
157,Surendranagar,Gujarat
166,Tapi,Gujarat
155,Vadodara,Gujarat
777,Vadodara Corporation,Gujarat
167,Valsad,Gujarat
193,Ambala,Haryana
200,Bhiwani,Haryana
201,Charkhi Dadri,Haryana
199,Faridabad,Haryana
196,Fatehabad,Haryana
188,Gurgaon,Haryana
191,Hisar,Haryana
189,Jhajjar,Haryana
204,Jind,Haryana
190,Kaithal,Haryana
203,Karnal,Haryana
186,Kurukshetra,Haryana
206,Mahendragarh,Haryana
205,Nuh,Haryana
207,Palwal,Haryana
187,Panchkula,Haryana
195,Panipat,Haryana
202,Rewari,Haryana
192,Rohtak,Haryana
194,Sirsa,Haryana
198,Sonipat,Haryana
197,Yamunanagar,Haryana
219,Bilaspur,Himachal Pradesh
214,Chamba,Himachal Pradesh
217,Hamirpur,Himachal Pradesh
213,Kangra,Himachal Pradesh
216,Kinnaur,Himachal Pradesh
211,Kullu,Himachal Pradesh
210,Lahaul Spiti,Himachal Pradesh
215,Mandi,Himachal Pradesh
208,Shimla,Himachal Pradesh
212,Sirmaur,Himachal Pradesh
209,Solan,Himachal Pradesh
218,Una,Himachal Pradesh
224,Anantnag,Jammu and Kashmir
223,Bandipore,Jammu and Kashmir
225,Baramulla,Jammu and Kashmir
229,Budgam,Jammu and Kashmir
232,Doda,Jammu and Kashmir
228,Ganderbal,Jammu and Kashmir
230,Jammu,Jammu and Kashmir
234,Kathua,Jammu and Kashmir
231,Kishtwar,Jammu and Kashmir
221,Kulgam,Jammu and Kashmir
226,Kupwara,Jammu and Kashmir
238,Poonch,Jammu and Kashmir
227,Pulwama,Jammu and Kashmir
237,Rajouri,Jammu and Kashmir
235,Ramban,Jammu and Kashmir
239,Reasi,Jammu and Kashmir
236,Samba,Jammu and Kashmir
222,Shopian,Jammu and Kashmir
220,Srinagar,Jammu and Kashmir
233,Udhampur,Jammu and Kashmir
242,Bokaro,Jharkhand
245,Chatra,Jharkhand
253,Deoghar,Jharkhand
257,Dhanbad,Jharkhand
258,Dumka,Jharkhand
247,East Singhbhum,Jharkhand
243,Garhwa,Jharkhand
256,Giridih,Jharkhand
262,Godda,Jharkhand
251,Gumla,Jharkhand
255,Hazaribagh,Jharkhand
259,Jamtara,Jharkhand
252,Khunti,Jharkhand
241,Koderma,Jharkhand
244,Latehar,Jharkhand
250,Lohardaga,Jharkhand
261,Pakur,Jharkhand
246,Palamu,Jharkhand
254,Ramgarh,Jharkhand
240,Ranchi,Jharkhand
260,Sahebganj,Jharkhand
248,Seraikela Kharsawan,Jharkhand
249,Simdega,Jharkhand
263,West Singhbhum,Jharkhand
270,Bagalkot,Karnataka
276,Bangalore Rural,Karnataka
265,Bangalore Urban,Karnataka
294,BBMP,Karnataka
264,Belgaum,Karnataka
274,Bellary,Karnataka
272,Bidar,Karnataka
271,Chamarajanagar,Karnataka
273,Chikamagalur,Karnataka
291,Chikkaballapur,Karnataka
268,Chitradurga,Karnataka
269,Dakshina Kannada,Karnataka
275,Davanagere,Karnataka
278,Dharwad,Karnataka
280,Gadag,Karnataka
267,Gulbarga,Karnataka
289,Hassan,Karnataka
279,Haveri,Karnataka
283,Kodagu,Karnataka
277,Kolar,Karnataka
282,Koppal,Karnataka
290,Mandya,Karnataka
266,Mysore,Karnataka
284,Raichur,Karnataka
292,Ramanagara,Karnataka
287,Shimoga,Karnataka
288,Tumkur,Karnataka
286,Udupi,Karnataka
281,Uttar Kannada,Karnataka
293,Vijayapura,Karnataka
285,Yadgir,Karnataka
301,Alappuzha,Kerala
307,Ernakulam,Kerala
306,Idukki,Kerala
297,Kannur,Kerala
295,Kasaragod,Kerala
298,Kollam,Kerala
304,Kottayam,Kerala
305,Kozhikode,Kerala
302,Malappuram,Kerala
308,Palakkad,Kerala
300,Pathanamthitta,Kerala
296,Thiruvananthapuram,Kerala
303,Thrissur,Kerala
299,Wayanad,Kerala
309,Kargil,Ladakh
310,Leh,Ladakh
796,Agatti Island,Lakshadweep
311,Lakshadweep,Lakshadweep
320,Agar,Madhya Pradesh
357,Alirajpur,Madhya Pradesh
334,Anuppur,Madhya Pradesh
354,Ashoknagar,Madhya Pradesh
338,Balaghat,Madhya Pradesh
343,Barwani,Madhya Pradesh
362,Betul,Madhya Pradesh
351,Bhind,Madhya Pradesh
312,Bhopal,Madhya Pradesh
342,Burhanpur,Madhya Pradesh
328,Chhatarpur,Madhya Pradesh
337,Chhindwara,Madhya Pradesh
327,Damoh,Madhya Pradesh
350,Datia,Madhya Pradesh
324,Dewas,Madhya Pradesh
341,Dhar,Madhya Pradesh
336,Dindori,Madhya Pradesh
348,Guna,Madhya Pradesh
313,Gwalior,Madhya Pradesh
361,Harda,Madhya Pradesh
360,Hoshangabad,Madhya Pradesh
314,Indore,Madhya Pradesh
315,Jabalpur,Madhya Pradesh
340,Jhabua,Madhya Pradesh
353,Katni,Madhya Pradesh
339,Khandwa,Madhya Pradesh
344,Khargone,Madhya Pradesh
335,Mandla,Madhya Pradesh
319,Mandsaur,Madhya Pradesh
347,Morena,Madhya Pradesh
352,Narsinghpur,Madhya Pradesh
323,Neemuch,Madhya Pradesh
326,Panna,Madhya Pradesh
359,Raisen,Madhya Pradesh
358,Rajgarh,Madhya Pradesh
322,Ratlam,Madhya Pradesh
316,Rewa,Madhya Pradesh
317,Sagar,Madhya Pradesh
333,Satna,Madhya Pradesh
356,Sehore,Madhya Pradesh
349,Seoni,Madhya Pradesh
332,Shahdol,Madhya Pradesh
321,Shajapur,Madhya Pradesh
346,Sheopur,Madhya Pradesh
345,Shivpuri,Madhya Pradesh
331,Sidhi,Madhya Pradesh
330,Singrauli,Madhya Pradesh
325,Tikamgarh,Madhya Pradesh
318,Ujjain,Madhya Pradesh
329,Umaria,Madhya Pradesh
355,Vidisha,Madhya Pradesh
391,Ahmednagar,Maharashtra
364,Akola,Maharashtra
366,Amravati,Maharashtra
397,Aurangabad ,Maharashtra
384,Beed,Maharashtra
370,Bhandara,Maharashtra
367,Buldhana,Maharashtra
380,Chandrapur,Maharashtra
388,Dhule,Maharashtra
379,Gadchiroli,Maharashtra
378,Gondia,Maharashtra
386,Hingoli,Maharashtra
390,Jalgaon,Maharashtra
396,Jalna,Maharashtra
371,Kolhapur,Maharashtra
383,Latur,Maharashtra
395,Mumbai,Maharashtra
365,Nagpur,Maharashtra
382,Nanded,Maharashtra
387,Nandurbar,Maharashtra
389,Nashik,Maharashtra
381,Osmanabad,Maharashtra
394,Palghar,Maharashtra
385,Parbhani,Maharashtra
363,Pune,Maharashtra
393,Raigad,Maharashtra
372,Ratnagiri,Maharashtra
373,Sangli,Maharashtra
376,Satara,Maharashtra
374,Sindhudurg,Maharashtra
375,Solapur,Maharashtra
392,Thane,Maharashtra
377,Wardha,Maharashtra
369,Washim,Maharashtra
368,Yavatmal,Maharashtra
398,Bishnupur,Manipur
399,Chandel,Manipur
400,Churachandpur,Manipur
401,Imphal East,Manipur
402,Imphal West,Manipur
410,Jiribam,Manipur
413,Kakching,Manipur
409,Kamjong,Manipur
408,Kangpokpi,Manipur
412,Noney,Manipur
411,Pherzawl,Manipur
403,Senapati,Manipur
404,Tamenglong,Manipur
407,Tengnoupal,Manipur
405,Thoubal,Manipur
406,Ukhrul,Manipur
424,East Garo Hills,Meghalaya
418,East Jaintia Hills,Meghalaya
414,East Khasi Hills,Meghalaya
423,North Garo Hills,Meghalaya
417,Ri-Bhoi,Meghalaya
421,South Garo Hills,Meghalaya
422,South West Garo Hills,Meghalaya
415,South West Khasi Hills,Meghalaya
420,West Garo Hills,Meghalaya
416,West Jaintia Hills,Meghalaya
419,West Khasi Hills,Meghalaya
425,Aizawl East,Mizoram
426,Aizawl West,Mizoram
429,Champhai,Mizoram
428,Kolasib,Mizoram
432,Lawngtlai,Mizoram
431,Lunglei,Mizoram
427,Mamit,Mizoram
430,Serchhip,Mizoram
433,Siaha,Mizoram
434,Dimapur,Nagaland
444,Kiphire,Nagaland
441,Kohima,Nagaland
438,Longleng,Nagaland
437,Mokokchung,Nagaland
439,Mon,Nagaland
435,Peren,Nagaland
443,Phek,Nagaland
440,Tuensang,Nagaland
436,Wokha,Nagaland
442,Zunheboto,Nagaland
445,Angul,Odisha
448,Balangir,Odisha
447,Balasore,Odisha
472,Bargarh,Odisha
454,Bhadrak,Odisha
468,Boudh,Odisha
457,Cuttack,Odisha
473,Deogarh,Odisha
458,Dhenkanal,Odisha
467,Gajapati,Odisha
449,Ganjam,Odisha
459,Jagatsinghpur,Odisha
460,Jajpur,Odisha
474,Jharsuguda,Odisha
464,Kalahandi,Odisha
450,Kandhamal,Odisha
461,Kendrapara,Odisha
455,Kendujhar,Odisha
446,Khurda,Odisha
451,Koraput,Odisha
469,Malkangiri,Odisha
456,Mayurbhanj,Odisha
470,Nabarangpur,Odisha
462,Nayagarh,Odisha
465,Nuapada,Odisha
463,Puri,Odisha
471,Rayagada,Odisha
452,Sambalpur,Odisha
466,Subarnapur,Odisha
453,Sundargarh,Odisha
476,Karaikal,Puducherry
477,Mahe,Puducherry
475,Puducherry,Puducherry
478,Yanam,Puducherry
485,Amritsar,Punjab
483,Barnala,Punjab
493,Bathinda,Punjab
499,Faridkot,Punjab
484,Fatehgarh Sahib,Punjab
487,Fazilka,Punjab
480,Ferozpur,Punjab
489,Gurdaspur,Punjab
481,Hoshiarpur,Punjab
492,Jalandhar,Punjab
479,Kapurthala,Punjab
488,Ludhiana,Punjab
482,Mansa,Punjab
491,Moga,Punjab
486,Pathankot,Punjab
494,Patiala,Punjab
497,Rup Nagar,Punjab
498,Sangrur,Punjab
496,SAS Nagar,Punjab
500,SBS Nagar,Punjab
490,Sri Muktsar Sahib,Punjab
495,Tarn Taran,Punjab
507,Ajmer,Rajasthan
512,Alwar,Rajasthan
519,Banswara,Rajasthan
516,Baran,Rajasthan
528,Barmer,Rajasthan
508,Bharatpur,Rajasthan
523,Bhilwara,Rajasthan
501,Bikaner,Rajasthan
514,Bundi,Rajasthan
521,Chittorgarh,Rajasthan
530,Churu,Rajasthan
511,Dausa,Rajasthan
524,Dholpur,Rajasthan
520,Dungarpur,Rajasthan
517,Hanumangarh,Rajasthan
505,Jaipur I,Rajasthan
506,Jaipur II,Rajasthan
527,Jaisalmer,Rajasthan
533,Jalore,Rajasthan
515,Jhalawar,Rajasthan
510,Jhunjhunu,Rajasthan
502,Jodhpur,Rajasthan
525,Karauli,Rajasthan
503,Kota,Rajasthan
532,Nagaur,Rajasthan
529,Pali,Rajasthan
522,Pratapgarh,Rajasthan
518,Rajsamand,Rajasthan
534,Sawai Madhopur,Rajasthan
513,Sikar,Rajasthan
531,Sirohi,Rajasthan
509,Sri Ganganagar,Rajasthan
526,Tonk,Rajasthan
504,Udaipur,Rajasthan
535,East Sikkim,Sikkim
537,North Sikkim,Sikkim
538,South Sikkim,Sikkim
536,West Sikkim,Sikkim
779,Aranthangi,Tamil Nadu
555,Ariyalur,Tamil Nadu
578,Attur,Tamil Nadu
565,Chengalpet,Tamil Nadu
571,Chennai,Tamil Nadu
778,Cheyyar,Tamil Nadu
539,Coimbatore,Tamil Nadu
547,Cuddalore,Tamil Nadu
566,Dharmapuri,Tamil Nadu
556,Dindigul,Tamil Nadu
563,Erode,Tamil Nadu
552,Kallakurichi,Tamil Nadu
557,Kanchipuram,Tamil Nadu
544,Kanyakumari,Tamil Nadu
559,Karur,Tamil Nadu
780,Kovilpatti,Tamil Nadu
562,Krishnagiri,Tamil Nadu
540,Madurai,Tamil Nadu
576,Nagapattinam,Tamil Nadu
558,Namakkal,Tamil Nadu
577,Nilgiris,Tamil Nadu
564,Palani,Tamil Nadu
573,Paramakudi,Tamil Nadu
570,Perambalur,Tamil Nadu
575,Poonamallee,Tamil Nadu
546,Pudukkottai,Tamil Nadu
567,Ramanathapuram,Tamil Nadu
781,Ranipet,Tamil Nadu
545,Salem,Tamil Nadu
561,Sivaganga,Tamil Nadu
580,Sivakasi,Tamil Nadu
551,Tenkasi,Tamil Nadu
541,Thanjavur,Tamil Nadu
569,Theni,Tamil Nadu
554,Thoothukudi (Tuticorin),Tamil Nadu
560,Tiruchirappalli,Tamil Nadu
548,Tirunelveli,Tamil Nadu
550,Tirupattur,Tamil Nadu
568,Tiruppur,Tamil Nadu
572,Tiruvallur,Tamil Nadu
553,Tiruvannamalai,Tamil Nadu
574,Tiruvarur,Tamil Nadu
543,Vellore,Tamil Nadu
542,Viluppuram,Tamil Nadu
549,Virudhunagar,Tamil Nadu
582,Adilabad,Telangana
583,Bhadradri Kothagudem,Telangana
581,Hyderabad,Telangana
584,Jagtial,Telangana
585,Jangaon,Telangana
586,Jayashankar Bhupalpally,Telangana
587,Jogulamba Gadwal,Telangana
588,Kamareddy,Telangana
589,Karimnagar,Telangana
590,Khammam,Telangana
591,Kumuram Bheem,Telangana
592,Mahabubabad,Telangana
593,Mahabubnagar,Telangana
594,Mancherial,Telangana
595,Medak,Telangana
596,Medchal,Telangana
612,Mulugu,Telangana
597,Nagarkurnool,Telangana
598,Nalgonda,Telangana
613,Narayanpet,Telangana
599,Nirmal,Telangana
600,Nizamabad,Telangana
601,Peddapalli,Telangana
602,Rajanna Sircilla,Telangana
603,Rangareddy,Telangana
604,Sangareddy,Telangana
605,Siddipet,Telangana
606,Suryapet,Telangana
607,Vikarabad,Telangana
608,Wanaparthy,Telangana
609,Warangal(Rural),Telangana
610,Warangal(Urban),Telangana
611,Yadadri Bhuvanagiri,Telangana
614,Dhalai,Tripura
615,Gomati,Tripura
616,Khowai,Tripura
617,North Tripura,Tripura
618,Sepahijala,Tripura
619,South Tripura,Tripura
620,Unakoti,Tripura
621,West Tripura,Tripura
622,Agra,Uttar Pradesh
623,Aligarh,Uttar Pradesh
625,Ambedkar Nagar,Uttar Pradesh
626,Amethi,Uttar Pradesh
627,Amroha,Uttar Pradesh
628,Auraiya,Uttar Pradesh
646,Ayodhya,Uttar Pradesh
629,Azamgarh,Uttar Pradesh
630,Badaun,Uttar Pradesh
631,Baghpat,Uttar Pradesh
632,Bahraich,Uttar Pradesh
633,Balarampur,Uttar Pradesh
634,Ballia,Uttar Pradesh
635,Banda,Uttar Pradesh
636,Barabanki,Uttar Pradesh
637,Bareilly,Uttar Pradesh
638,Basti,Uttar Pradesh
687,Bhadohi,Uttar Pradesh
639,Bijnour,Uttar Pradesh
640,Bulandshahr,Uttar Pradesh
641,Chandauli,Uttar Pradesh
642,Chitrakoot,Uttar Pradesh
643,Deoria,Uttar Pradesh
644,Etah,Uttar Pradesh
645,Etawah,Uttar Pradesh
647,Farrukhabad,Uttar Pradesh
648,Fatehpur,Uttar Pradesh
649,Firozabad,Uttar Pradesh
650,Gautam Buddha Nagar,Uttar Pradesh
651,Ghaziabad,Uttar Pradesh
652,Ghazipur,Uttar Pradesh
653,Gonda,Uttar Pradesh
654,Gorakhpur,Uttar Pradesh
655,Hamirpur,Uttar Pradesh
656,Hapur,Uttar Pradesh
657,Hardoi,Uttar Pradesh
658,Hathras,Uttar Pradesh
659,Jalaun,Uttar Pradesh
660,Jaunpur,Uttar Pradesh
661,Jhansi,Uttar Pradesh
662,Kannauj,Uttar Pradesh
663,Kanpur Dehat,Uttar Pradesh
664,Kanpur Nagar,Uttar Pradesh
665,Kasganj,Uttar Pradesh
666,Kaushambi,Uttar Pradesh
667,Kushinagar,Uttar Pradesh
668,Lakhimpur Kheri,Uttar Pradesh
669,Lalitpur,Uttar Pradesh
670,Lucknow,Uttar Pradesh
671,Maharajganj,Uttar Pradesh
672,Mahoba,Uttar Pradesh
673,Mainpuri,Uttar Pradesh
674,Mathura,Uttar Pradesh
675,Mau,Uttar Pradesh
676,Meerut,Uttar Pradesh
677,Mirzapur,Uttar Pradesh
678,Moradabad,Uttar Pradesh
679,Muzaffarnagar,Uttar Pradesh
680,Pilibhit,Uttar Pradesh
682,Pratapgarh,Uttar Pradesh
624,Prayagraj,Uttar Pradesh
681,Raebareli,Uttar Pradesh
683,Rampur,Uttar Pradesh
684,Saharanpur,Uttar Pradesh
685,Sambhal,Uttar Pradesh
686,Sant Kabir Nagar,Uttar Pradesh
688,Shahjahanpur,Uttar Pradesh
689,Shamli,Uttar Pradesh
690,Shravasti,Uttar Pradesh
691,Siddharthnagar,Uttar Pradesh
692,Sitapur,Uttar Pradesh
693,Sonbhadra,Uttar Pradesh
694,Sultanpur,Uttar Pradesh
695,Unnao,Uttar Pradesh
696,Varanasi,Uttar Pradesh
704,Almora,Uttarakhand
707,Bageshwar,Uttarakhand
699,Chamoli,Uttarakhand
708,Champawat,Uttarakhand
697,Dehradun,Uttarakhand
702,Haridwar,Uttarakhand
709,Nainital,Uttarakhand
698,Pauri Garhwal,Uttarakhand
706,Pithoragarh,Uttarakhand
700,Rudraprayag,Uttarakhand
701,Tehri Garhwal,Uttarakhand
705,Udham Singh Nagar,Uttarakhand
703,Uttarkashi,Uttarakhand
710,Alipurduar District,West Bengal
711,Bankura,West Bengal
712,Basirhat HD (North 24 Parganas),West Bengal
713,Birbhum,West Bengal
714,Bishnupur HD (Bankura),West Bengal
715,Cooch Behar,West Bengal
783,COOCHBEHAR,West Bengal
716,Dakshin Dinajpur,West Bengal
717,Darjeeling,West Bengal
718,Diamond Harbor HD (S 24 Parganas),West Bengal
719,East Bardhaman,West Bengal
720,Hoogly,West Bengal
721,Howrah,West Bengal
722,Jalpaiguri,West Bengal
723,Jhargram,West Bengal
724,Kalimpong,West Bengal
725,Kolkata,West Bengal
726,Malda,West Bengal
727,Murshidabad,West Bengal
728,Nadia,West Bengal
729,Nandigram HD (East Medinipore),West Bengal
730,North 24 Parganas,West Bengal
731,Paschim Medinipore,West Bengal
732,Purba Medinipore,West Bengal
733,Purulia,West Bengal
734,Rampurhat HD (Birbhum),West Bengal
735,South 24 Parganas,West Bengal
736,Uttar Dinajpur,West Bengal
737,West Bardhaman,West Bengal
